Question ID (machine readable),Response ID (machine readable),Response value,Answer requirement,Human-friendly question label
PSL_DATA_TYPES_APP_ACTIVITY,PSL_USER_GENERATED_CONTENT,,MULTIPLE_CHOICE,Hoạt động trong ứng dụng / Nội dung khác do người dùng tạo
PSL_DATA_TYPES_APP_ACTIVITY,PSL_OTHER_APP_ACTIVITY,,MULTIPLE_CHOICE,Hoạt động trong ứng dụng / Thao tác khác
PSL_DATA_TYPES_IDENTIFIERS,PSL_DEVICE_ID,,MULTIPLE_CHOICE,Mã nhận dạng thiết bị hoặc mã nhận dạng khác / Mã nhận dạng thiết bị hoặc mã nhận dạng khác
PSL_DATA_USAGE_RESPONSES:PSL_NAME:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_COLLECTED,true,MULTIPLE_CHOICE,"Sử dụng và xử lý dữ liệu (Tên) / Dữ liệu này được thu thập, chia sẻ hay cả hai? / Có thu thập"
PSL_DATA_USAGE_RESPONSES:PSL_NAME:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_SHARED,,MULTIPLE_CHOICE,"Sử dụng và xử lý dữ liệu (Tên) / Dữ liệu này được thu thập, chia sẻ hay cả hai? / Có chia sẻ"
PSL_DATA_USAGE_RESPONSES:PSL_NAME:PSL_DATA_USAGE_EPHEMERAL,,true,MAYBE_REQUIRED,Sử dụng và xử lý dữ liệu (Tên) / Có phải dữ liệu này được xử lý nhất thời không?
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_OPTIONAL,true,SINGLE_CHOICE,Sử dụng và xử lý dữ liệu (Tên) / Dữ liệu này là cần thiết đối với hoạt động của ứng dụng hay người dùng có thể chọn cho phép hoặc không cho phép thu thập dữ liệu này? / Người dùng có thể chọn cho phép hoặc không cho phép thu thập dữ liệu này
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_REQUIRED,,SINGLE_CHOICE,Sử dụng và xử lý dữ liệu (Tên) / Dữ liệu này là cần thiết đối với hoạt động của ứng dụng hay người dùng có thể chọn cho phép hoặc không cho phép thu thập dữ liệu này? / Bắt buộc phải thu thập dữ liệu này (người dùng không thể tắt hoạt động thu thập dữ liệu này)
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_APP_FUNCTIONALITY,true,MULTIPLE_CHOICE,Sử dụng và xử lý dữ liệu (Tên) / Tại sao ứng dụng lại thu thập dữ liệu này? Hãy chọn mọi câu trả lời phù hợp. / Chức năng của ứng dụng
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_ANALYTICS,true,MULTIPLE_CHOICE,Sử dụng và xử lý dữ liệu (Tên) / Tại sao ứng dụng lại thu thập dữ liệu này? Hãy chọn mọi câu trả lời phù hợp. / Phân tích
